"(5,3)",,,,,,,,,,,,,
locked,wall,wall,door,,,,,,,,,,
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueT,blueB,blueT,blueB,blueT,blueT,blueB,blueT,blueB,blueT,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
empty,blueB,blueT,blueB,blueT,blueB,blueT,blueT,blueB,blueT,blueB,blueT,blueB,empty
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueT,blueB,blueT,blueB,blueT,blueT,blueB,blueT,blueB,blueT,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall

