"(3,3)",,,,,,,,,,,,,
door,locked,bwall,door,,,,,,,,,,
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueT,blueT,blueB,blueB,blueB,blueB,blueB,blueB,blueT,blueT,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
empty,blueB,blueB,blueB,blueB,blueB,blueT,blueT,blueB,blueB,blueB,blueB,blueB,empty
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueT,blueT,blueB,blueB,blueB,blueB,blueB,blueB,blueT,blueT,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall
"jelly(11,1)","jelly(6,2)","jelly(5,4)","jelly(9,2)","jelly(10,4)",,,,,,,,,
